	RD118	RD122	RD124	RD126	RD127	RD128	RD130	RD131	RD132	RD162	RD165	RD166	RD167	RD168	RD169	RD170	RD171	RD172	RD173	RD174	RDneg	taxonomy
ASV_45	1079	2145	626	1175	351	1649	4409	137	1637	1484	3	993	430	139	165	431	751	152	1525	847	298	Bacteria;;;;;;
ASV_46	1215	1735	541	145	316	4893	144	197	1840	2385	209	509	767	236	1374	137	1247	590	458	295	216	Bacteria;;;;;;
ASV_55	731	318	86	618	85	152	7519	148	12	593	431	147	247	85	299	1137	194	11	1175	76	71	Bacteria;;;;;;
ASV_61	513	363	63	2297	258	785	698	132	372	800	211	840	157	508	695	1438	479	37	1035	699	244	Bacteria;;;;;;
ASV_99	0	0	0	0	0	1356	0	1356	3592	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;;;;;;
ASV_352	82	3	10	0	6	0	0	0	4	170	0	193	177	6	4	0	185	0	0	0	87	Bacteria;;;;;;
ASV_212	0	0	0	0	0	2315	0	15	74	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV_379	0	0	0	0	0	497	0	0	14	0	0	0	0	0	0	296	0	0	0	0	0	Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;
ASV_223	0	157	31	0	5	4	7	0	0	285	292	982	0	4	0	8	7	14	2	0	385	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;;
ASV_251	819	59	6	2	56	211	3	0	221	28	250	80	3	0	0	0	23	0	0	18	28	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Coriobacteriaceae UCG-002;
ASV_222	326	219	17	152	88	277	24	33	58	228	0	199	115	58	62	84	81	46	51	71	25	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_345	212	210	21	22	35	81	0	12	23	24	7	69	135	28	14	4	6	9	10	16	15	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_395	184	0	0	70	10	31	0	115	21	155	12	20	7	0	0	0	10	81	17	17	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_421	103	81	0	25	33	126	0	13	24	13	13	70	0	0	0	15	36	0	50	33	28	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
ASV_452	192	106	0	10	8	109	0	15	37	0	0	0	0	0	9	0	0	9	14	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Parvibacter;
ASV_100	804	399	380	130	153	375	37	79	303	1741	9	678	45	44	162	38	169	93	99	139	283	Bacteria;Bacteroidota;;;;;
ASV_7	9921	6508	1634	381	5228	5359	598	4409	12045	6796	1889	1136	6376	417	1957	394	11339	78	6034	1079	400	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_63	483	311	49	1777	257	814	680	129	312	728	261	761	173	519	750	1326	455	39	1170	723	225	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_154	181	3	85	170	243	253	306	376	296	64	335	76	24	130	25	251	139	0	269	393	28	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_166	82	146	89	377	312	293	211	89	168	298	107	123	40	166	159	159	75	0	179	224	0	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_218	77	0	80	63	173	0	0	126	313	242	88	276	96	0	105	68	241	0	99	113	107	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_252	184	52	0	81	195	82	55	132	103	128	168	83	48	0	0	113	65	0	211	91	0	Bacteria;Bacteroidota;Bacteroidia;;;;
ASV_9	10705	9917	3005	967	915	10086	0	1333	2636	6150	3674	5659	2253	668	3740	2819	6383	2019	1959	367	1400	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_18	2844	3422	1694	1534	5315	594	1338	606	1485	3711	2371	2948	2869	2620	1711	5961	4047	356	598	2574	1069	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_22	2059	649	276	2194	582	3315	516	794	1583	1104	38	2616	1274	1162	1467	8652	2330	134	1417	1839	635	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_26	1183	927	533	594	2470	106	589	2975	123	3280	837	1582	1557	453	1925	700	2375	115	6500	858	350	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_27	2090	1391	789	451	349	6579	164	541	1578	4345	291	4483	378	375	1495	357	873	179	566	409	1800	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_28	3001	1012	80	851	270	898	0	6615	883	2756	3140	0	585	360	986	974	1755	56	2646	547	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_30	1454	2982	761	1278	713	957	632	33	482	919	14	11813	123	90	305	182	150	132	1458	11	2445	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_32	2903	938	56	872	266	840	0	6370	841	2769	2871	0	627	361	904	920	1768	54	2568	528	67	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
ASV_39	1790	1555	846	3337	609	1010	1746	989	1009	3588	484	1040	140	471	193	1023	1650	186	510	457	280	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;;;
