SampleID	BGI_SampleID	Collection_Date	Sex	DOB	Age	Cage	Litter	Group	Genotype	Infarct_Vol	Weight_loss_perc
RD126	1	07/06/2021	male	30/03/2021	9.4	113018	46608	Stroke	C57BL.6J	29.4	18.4
RD127	2	07/06/2021	male	30/03/2021	9.4	113018	46608	Stroke	C57BL.6J	23.7	14.6
RD130	3	11/06/2021	male	26/03/2021	10.6	11340	46785	Stroke	C57BL.6J	71.7	22.1
RD131	4	11/06/2021	male	26/03/2021	10.6	11340	46786	Stroke	C57BL.6J	44.6	15.4
RD165	7	17/06/2021	male	24/06/2021	8.1	119596	49049	Stroke	C57BL.6J	38.5	12.2
RD168	8	19/08/2021	male	21/06/2021	8.6	119658	49048	Stroke	C57BL.6J	39.5	20.7
RD169	9	19/08/2021	male	21/06/2021	8.6	119658	49047	Stroke	C57BL.6J	43.3	18.5
RD170	10	19/08/2021	male	21/06/2021	8.6	119658	49047	Stroke	C57BL.6J	37.7	4.3
RD173	11	20/08/2021	male	20/06/2021	8.7	119595	49048	Stroke	C57BL.6J	36.5	11.7
RD174	12	20/08/2021	male	20/06/2021	8.7	119595	49048	Stroke	C57BL.6J	42.0	13.4
RD118	13	28/05/2021	male	30/03/2021	8	113019	46609	Sham	C57BL.6J	0.0	1.5
RD122	14	28/05/2021	male	30/03/2021	8	113019	46609	Sham	C57BL.6J	0.0	0.5
RD124	15	28/05/2021	male	30/03/2021	8	113018	46608	Sham	C57BL.6J	0.0	3
RD128	16	07/06/2021	male	26/03/2021	10	113018	46608	Sham	C57BL.6J	0.0	2.2
RD132	17	11/06/2021	male	26/03/2021	10.6	11340	46787	Sham	C57BL.6J	0.0	0
RD162	19	17/06/2021	male	24/06/2021	8.1	119596	49049	Sham	C57BL.6J	0.0	0
RD166	20	17/06/2021	male	24/06/2021	8.1	119596	49049	Sham	C57BL.6J	0.0	0
RD167	21	19/08/2021	male	21/06/2021	8.6	119658	49047	Sham	C57BL.6J	0.0	7.3
RD171	22	19/08/2021	male	21/06/2021	8.6	119268	49047	Sham	C57BL.6J	0.0	1.8
RD172	23	20/08/2021	male	20/06/2021	8.7	119595	49048	Sham	C57BL.6J	0.0	0
